#	YIXIN17	GORO17	HEWER15	SLOWRENJU17	TITO14	SWINE17	CARBON17	WINE	EMBRYO	PELA17	WHOSE	GMOTOR11	CHIS17	XOXO17	KANEC09	ZETOR17	EULRING	LICHT	JUDE	PECUCHET	SPARKLE	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	FASTGOMOKU14	PISQ7	DJALL	BENJAMIN	VALKYRIE	STAHLFAUST	FIVEROW	PUREROCKY	CRUSHER	PROLOG36	MUSHROOM	GAMMAKU.FG
QMENTAT6	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	1 : 23	1 : 23	1 : 23	0 : 24	3 : 21	3 : 21	4 : 20	8 : 16	4 : 20	8 : 16	-	14 : 10	12 : 5	17 : 5	16 : 4	17 : 7	18 : 0	18 : 2	21 : 3	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
PUSKVOREC	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	2 : 22	2 : 22	7 : 17	9 : 15	3 : 21	10 : 14	-	14 : 10	19 : 5	19 : 5	17 : 7	20 : 4	20 : 4	24 : 0	15 : 9	16 : 8	22 : 2	20 : 4	21 : 3	23 : 1	22 : 2
NOESIS	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	1 : 23	0 : 24	3 : 21	1 : 23	0 : 24	1 : 23	0 : 24	0 : 24	3 : 21	1 : 23	2 : 22	6 : 18	3 : 21	7 : 17	5 : 17	5 : 12	10 : 14	-	11 : 12	12 : 6	10 : 13	11 : 7	10 : 9	21 : 3	22 : 2	19 : 5	22 : 2	22 : 2	24 : 0	23 : 1	23 : 1
IMRO15	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	2 : 22	3 : 21	1 : 23	7 : 17	8 : 16	4 : 20	10 : 14	4 : 20	5 : 17	5 : 19	12 : 11	-	11 : 10	10 : 14	17 : 2	23 : 0	15 : 9	16 : 8	15 : 9	23 : 1	23 : 1	22 : 2	23 : 1	23 : 1
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	1 : 23	4 : 20	0 : 24	1 : 23	1 : 23	3 : 21	9 : 15	2 : 22	4 : 16	5 : 19	6 : 12	10 : 11	-	15 : 9	13 : 8	20 : 0	19 : 5	19 : 5	16 : 8	19 : 5	22 : 2	21 : 3	24 : 0	21 : 3
PISQ7	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	0 : 24	2 : 22	1 : 23	4 : 20	7 : 17	2 : 22	7 : 17	7 : 17	13 : 10	14 : 10	9 : 15	-	14 : 10	19 : 2	18 : 6	15 : 9	11 : 13	19 : 5	20 : 4	23 : 1	23 : 1	17 : 7
DJALL	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	2 : 22	1 : 23	1 : 23	3 : 21	2 : 22	4 : 20	0 : 22	0 : 18	4 : 20	7 : 11	2 : 17	8 : 13	10 : 14	-	23 : 1	17 : 7	15 : 9	11 : 13	15 : 6	23 : 1	23 : 1	21 : 3	22 : 2
BENJAMIN	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	6 : 18	0 : 24	0 : 24	2 : 22	1 : 23	4 : 20	0 : 24	2 : 18	4 : 20	9 : 10	0 : 23	0 : 20	2 : 19	1 : 23	-	6 : 18	20 : 4	20 : 4	11 : 13	20 : 4	23 : 1	24 : 0	20 : 4
VALKYRIE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	1 : 23	1 : 23	1 : 23	2 : 22	3 : 21	0 : 24	3 : 21	9 : 15	5 : 19	6 : 18	7 : 17	18 : 6	-	11 : 13	19 : 5	16 : 8	9 : 15	18 : 6	22 : 2	16 : 8
STAHLFAUST	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	2 : 22	4 : 20	2 : 22	1 : 23	2 : 22	9 : 15	2 : 22	8 : 16	5 : 19	9 : 15	9 : 15	4 : 20	13 : 11	-	12 : 12	12 : 12	15 : 9	21 : 3	19 : 5	21 : 3
FIVEROW	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	5 : 19	0 : 24	3 : 21	1 : 23	8 : 16	5 : 19	9 : 15	8 : 16	13 : 11	13 : 11	4 : 20	5 : 19	12 : 12	-	13 : 11	5 : 19	3 : 21	17 : 7	12 : 12
PUREROCKY	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	1 : 23	2 : 22	0 : 24	0 : 24	2 : 22	2 : 22	1 : 23	5 : 19	5 : 19	6 : 15	13 : 11	8 : 16	12 : 12	11 : 13	-	19 : 5	18 : 6	19 : 5	19 : 5
CRUSHER	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	4 : 20	2 : 22	1 : 23	2 : 22	4 : 20	1 : 23	4 : 20	15 : 9	9 : 15	19 : 5	5 : 19	-	21 : 3	23 : 1	14 : 10
PROLOG	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	2 : 22	2 : 22	0 : 24	0 : 24	3 : 21	0 : 24	2 : 22	3 : 21	1 : 23	1 : 23	1 : 23	6 : 18	3 : 21	21 : 3	6 : 18	3 : 21	-	22 : 2	13 : 11
MUSHROOM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	0 : 24	1 : 23	3 : 21	0 : 24	2 : 22	5 : 19	7 : 17	5 : 19	1 : 23	2 : 22	-	2 : 22
GAMMAKU.FG	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	2 : 22	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	1 : 23	3 : 21	7 : 17	2 : 22	4 : 20	8 : 16	3 : 21	12 : 12	5 : 19	10 : 14	11 : 13	22 : 2	-
