-	EMBRYO18	YIXIN18	GORO18	RAPFI	TITO14	WINE18	HEWER18	SLOWRENJU18	WHOSE18	SWINE17	GOFIVE	ALPHAGOMOKU.MK	DEEPFIRE	CARBON17	GMOTOR11	CHIS17	PELA17	XOXO18	EGO	KANEC09	ZETOR17	EULRING	LICHT	PECUCHET	JUDE	SPARKLE	DJALL18	QMENTAT6	ALPHAGOMOKU.GS	NOESIS	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7	LIGHTBLUE	BENJAMIN	FIVEROW	VALKYRIE	STAHLFAUST	CRUSHER	PROLOG	MUSHROOM	WHATATEAM	PUREROCKY
PUSKVOREC	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	1 : 23	4 : 20	7 : 17	6 : 18	11 : 13	6 : 18	12 : 12	15 : 9	-	17 : 7	17 : 7	20 : 4	19 : 5	22 : 2	17 : 7	19 : 5	18 : 6	23 : 1	21 : 3	23 : 1	24 : 0	19 : 5
IMRO15	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	0 : 24	3 : 21	0 : 24	3 : 21	5 : 19	11 : 13	5 : 19	6 : 18	7 : 6	8 : 15	10 : 14	14 : 8	7 : 17	-	15 : 9	12 : 12	19 : 5	22 : 1	20 : 4	15 : 9	22 : 2	22 : 2	22 : 2	24 : 0	23 : 1	19 : 5
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	2 : 22	2 : 22	1 : 23	5 : 19	5 : 19	3 : 19	2 : 19	4 : 20	5 : 19	7 : 10	7 : 17	9 : 15	-	20 : 4	20 : 4	21 : 1	18 : 6	20 : 4	20 : 4	22 : 2	24 : 0	23 : 1	24 : 0	16 : 8
PISQ7	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	3 : 21	3 : 21	4 : 20	3 : 21	2 : 22	2 : 22	4 : 19	6 : 18	13 : 10	4 : 20	12 : 12	4 : 20	-	17 : 7	19 : 3	11 : 13	13 : 11	19 : 5	19 : 5	22 : 2	19 : 5	23 : 1	18 : 6
LIGHTBLUE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	4 : 20	2 : 22	0 : 24	2 : 22	0 : 24	8 : 16	0 : 19	5 : 19	5 : 19	4 : 20	7 : 17	-	14 : 10	18 : 6	19 : 5	14 : 10	16 : 8	22 : 2	22 : 2	23 : 1	9 : 14
BENJAMIN	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	3 : 21	3 : 21	1 : 23	0 : 24	0 : 24	0 : 17	1 : 23	0 : 16	2 : 22	1 : 22	1 : 21	3 : 19	10 : 14	-	13 : 11	10 : 14	17 : 7	21 : 3	22 : 2	20 : 4	24 : 0	18 : 6
FIVEROW	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	11 : 13	2 : 22	7 : 17	6 : 18	7 : 17	4 : 20	6 : 18	13 : 11	6 : 18	11 : 13	-	15 : 9	18 : 6	9 : 15	4 : 20	16 : 8	24 : 0	16 : 8
VALKYRIE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	2 : 22	0 : 24	3 : 21	2 : 22	4 : 20	2 : 22	5 : 19	9 : 15	4 : 20	11 : 13	5 : 19	14 : 10	9 : 15	-	10 : 14	9 : 15	14 : 10	18 : 6	22 : 2	13 : 11
STAHLFAUST	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	2 : 22	1 : 23	1 : 23	1 : 23	1 : 23	7 : 17	3 : 21	6 : 18	2 : 22	4 : 20	5 : 19	10 : 14	7 : 17	6 : 18	14 : 10	-	13 : 11	19 : 5	17 : 7	23 : 1	13 : 11
CRUSHER	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	1 : 23	0 : 24	2 : 22	2 : 22	0 : 24	5 : 19	1 : 23	1 : 23	2 : 22	2 : 22	5 : 19	8 : 16	3 : 21	15 : 9	15 : 9	11 : 13	-	17 : 7	23 : 1	24 : 0	8 : 16
PROLOG	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	6 : 18	0 : 24	3 : 21	2 : 22	0 : 24	2 : 22	2 : 22	2 : 22	20 : 4	10 : 14	5 : 19	7 : 17	-	20 : 4	22 : 2	8 : 16
MUSHROOM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	3 : 21	3 : 21	1 : 23	0 : 24	1 : 23	5 : 19	2 : 22	4 : 20	8 : 16	6 : 18	7 : 17	1 : 23	4 : 20	-	8 : 16	10 : 14
WHATATEAM	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	0 : 24	1 : 23	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	2 : 22	1 : 23	0 : 24	2 : 22	16 : 8	-	5 : 19
PUREROCKY	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	2 : 22	3 : 21	0 : 24	4 : 20	5 : 19	5 : 19	5 : 19	8 : 16	6 : 18	14 : 9	6 : 18	8 : 16	11 : 13	11 : 13	16 : 8	16 : 8	14 : 10	19 : 5	-
